paper id,year,paper type,paper title,author number,abstract,session title,sub unit
2014-0000,2014,Paper Session,When Self is the Source: Implications of Media Customization on Message Processing,2,"Customization of media technologies makes the users de facto gatekeepers of their own information universe; the user in essence becomes the source of communication. But does this sense of “self as source” alter the way the users process information received via customized interfaces? This paper attempts to answer this question by reporting a between-subjects experiment (N = 146) that examined the effect of self-driven customization (high vs. low self-as-source) on persuasive message processing, as mediated by three major psychological consequences of customization—perceived control, perceived identity, and perceived involvement.
The results indicate that perceived identity is a significant mediator between self-as-source in customization and message processing. Theoretical implications for persuasive technologies, dual process models and the agency model of customization are discussed, followed by practical implications for communicators who wish to incorporate new media technologies into their social influence campaigns.",Persuasion in Social Media Contexts,Communication and Technology
2014-0001,2014,Paper Session,It’s Not What You Say But How You Say It: Information Asymmetry and Compliance Gaining Online,4,"Proliferation of social media has increased the amount of personal information available about users online, and this information is increasingly available to anyone including advertisers and other (unknown) users. Having knowledge about others creates information asymmetries that can be used strategically to manipulate others. Results from an experiment involving sixty-six (31 male and 35 female) same sex dyads show that beneficiaries of information asymmetry were more successful at getting their conversation partners to comply with requests (42% success rate vs. 9% in the control condition). Conversation analysis indicates that conversation topics did not matter. Rather, the linguistic cues were influential: those participants who used fewer second person pronouns—such as you—were more successful at getting their partner to comply. Additionally, we found gender differences affect the style of conversation, such that females communicated more, used more personal pronouns, and more inclusive language than males.",Persuasion in Social Media Contexts,Communication and Technology
2014-0002,2014,Paper Session,Are You Scared Yet? Evaluating Fear Appeal Messages in Tweets About the Tips Campaign,4,"In March 2012, the CDC launched “Tips from Former Smokers,” a $54 million national campaign featuring individuals experiencing long-term health consequences of smoking. The campaign approach was based on strong evidence that anti-tobacco ads portraying fear, graphic images, and personal testimonials are associated with attitudinal and behavior change. Yet it was also controversial; critics cited the danger that viewers might reject such intensely graphic messages. Tasked with informing this debate, our study analyzes the entirety of the Tips campaign-related tweets from the Twitter Firehose. We provide a novel and rigorous method for media campaign evaluation, and an empirical test of the Extended Parallel Process Model. Among the relevant Tweets, 76% showed evidence of message acceptance, while 18% exhibited message rejection.",Persuasion in Social Media Contexts,Communication and Technology
2014-0003,2014,Paper Session,Lost and Found in Translation: Persuasive Effects of Native Language and International Comments on YouTube,5,"Research has emphasized the substantial influence of peer comments in participatory online environments. Based on the social identity model of deindividuation effects, this study attempted to explore mechanisms of users’ identification with anonymous commenters and social influence patterns on YouTube. Specifically, we examined whether comments in receivers’ native language lead to stronger persuasive effects than do comments in another language. A 2x2 between-subjects experiment with a German sample (N = 174) showed an anti-marijuana video along with positive or negative comments in either German or English. Video evaluation was directly affected by comment valence, and viewers’ attitude toward marijuana was influenced by the interaction of comment valence and identification with YouTube writers. Native language did not increase identification and persuasive effects. Instead, participants judged English comments more thoroughly: These were more influential when the valence was positive (against marijuana), while pro-marijuana comments tended to be more persuasive in German.",Persuasion in Social Media Contexts,Communication and Technology
2014-0004,2014,Paper Session,Is Citizen News Alternative? Online News Platforms and the BP Oil Spill,1,"For disasters with a culpable human element like the BP oil spill, alternative media are of heightened importance. With emerging content forums and news practices blurring the distinctions between competing journalistic paradigms, this study helps to illuminate those which best promote alternative ideals. Content analysis was conducted for three different hosts for online citizen journalism. Corporate (CNN’s iReport), alternative (Indymedia), and independent blogs’ news stories on the spill (N=1,566) were coded for sources, links, interactivity, tone, and contestation of mainstream information. This helps determine which type of platform is most likely to cultivate news that does not merely extend the mainstream. This study contributes to concepts of alternative media in an expanding communications environment, and parses out the varying functions of those who produce news at different points on the paradigmatic continuum.",Citizens as Collaborators: Extending the Voices of Journalism,Journalism Studies
2014-0005,2014,Paper Session,"Making Investigative News: Social Network, Collaboration, and Journalistic Autonomy",2,"This study aims to examine Chinese investigative reporters’ social network and cross-institutional collaboration, and to relate them to journalistic autonomy and deviance. We found that investigative reporters in China form a close-knit community. On average, reporters claimed to know about more than thirty colleagues from various media institutions. The top three popular forms of collaboration are to share informants, to share background information on a news topic, and to offer materialistic help. Meanwhile, reporters seem to hold pretty positive thoughts toward such favor exchange behavior, believing that collaboration could bring truth to the public and could facilitate reporters’ investigation. Reporters’ social network size and closeness showed strong predictive power in predicting collaboration frequency but not so much in predicting one’s attitude toward collaboration. And finally, we found that journalists with a close and larger social network tend to be more independent in the process of their news production, but only with limited effects.",Citizens as Collaborators: Extending the Voices of Journalism,Journalism Studies
2014-0006,2014,Paper Session,Open Investigative Journalism and the Reciprocal Panopticon: Citizens as Watchdogs,1,"This paper reports on a study of open journalistic practices, namely crowdsourcing and co-creation, in investigative journalism. The paper introduces the concepts of open investigative reporting and the reciprocal panopticon and analyzes the impact of openness on journalistic norms and power structures in society, drawing on empirical data from seven instances in which crowdsourcing and co-creation were used in investigative journalism. In open investigative reporting, citizens and journalists form a powerful alliance in which citizens monitor the power holders and thus gain agency in the public sphere. Open journalism also provides tools with which citizens and power holders can monitor journalism, thus creating reciprocal dynamics in the modern manifestations of power in panopticonism. While crowdsourcing and co-creation can function as accountability technologies, which have the potential to correct malfunctions in society, due to the limited nature of monitoring, traditional power asymmetries remain strong in the society.",Citizens as Collaborators: Extending the Voices of Journalism,Journalism Studies
2014-0007,2014,Paper Session,Rearranging Repertoires: How User Commentary Contributes to Journalistic Diversity in the Coverage of the Financial Crisis,2,"Does news users’ commentary contribute to widening the diversity of viewpoints represented in the news? This paper comparatively analyzes the interpretations of the current financial crisis in the online coverage of five German newspapers and the subsequent commentary of news users. Using an innovative strategy to identify the interpretative repertoires constructed by news and user frames, it assesses how user commentary deviates from those viewpoints represented in the news. Findings show that user accounts mostly remain within the wider interpretative repertoires offered by the media. However, they utilize media frame fragments rather freely to construct their own views, shifting focus and elaborating upon new aspects. While no consistent alternative repertoires were constructed, users thus valuably complemented the diversity of concerns discussed on news websites.",Citizens as Collaborators: Extending the Voices of Journalism,Journalism Studies
2014-0008,2014,Paper Session,Triggering Participation: Hostile Media and Third-Person Effects on Online Participation,3,"Using a 2x2x3 mixed between-within subjects experiment (N=102), we tested the relationship between perceived media bias on subjects’ likelihood of commenting on a digital news story, as well as the effects of existing reader comments on perceptions media bias. We found that (a) bias is a significant predictor of commenting, and (b) presence of comments lowers self-other differences and perceptions of story bias. Additionally, we found that subjects were more likely to comment on stories they found bias against their position (a form of corrective action), and that subjects were more likely to share and like stories they found biased in favor of their position as a form of promotional action.",Citizens as Collaborators: Extending the Voices of Journalism,Journalism Studies
2014-0009,2014,Paper Session,"Communicating the “Good Life” via Corporate Social Advocacy: The Amplified Impact of Corporate Social Responsibility on Consumer Purchase Intention, Corporate Financial Performance",2,"This research explored the impact of organizational stances on social-political issues as an extension of corporate social responsibility (CSR) theory and research. Specifically, using the theory of planned behavior as the theoretical underpinning and a quasi-experimental methodology, the relationship between organizational stances on social-political issues, termed corporate social advocacy, and consumer purchase intention was explored across three experimental social-political conditions (gay marriage, health care reform, and emergency contraception), six organizational conditions (Starbucks, Chick-fil-A, Whole Foods Market, Walmart, Nike, and Hobby Lobby) and one control condition (CSR, in general). Strong support was provided for a predictive relationship between CSA and consumer purchase intention, and the inclusion of CSA data amplified the impact of the regression model in comparison to a control group. Implications for the public relations profession are discussed.",Outcomes of CSR-Related Initiatives,Public Relations
