paper id,paper title,year,author number,author position,author name,author aff
2014-0000,When Self is the Source: Implications of Media Customization on Message Processing,2014,2,1,Hyunjin Kang,University of Wollongong
2014-0000,When Self is the Source: Implications of Media Customization on Message Processing,2014,2,2,S. Shyam Sundar,Pennsylvania State U and Sungkyunkwan Univ
2014-0001,It’s Not What You Say But How You Say It: Information Asymmetry and Compliance Gaining Online,2014,4,1,Michael Joseph Egnoto,U at Buffalo
2014-0001,It’s Not What You Say But How You Say It: Information Asymmetry and Compliance Gaining Online,2014,4,2,Jessica M. Covert,University at Buffalo
2014-0001,It’s Not What You Say But How You Say It: Information Asymmetry and Compliance Gaining Online,2014,4,3,Michael A. Stefanone,"U at Buffalo, State U of New York"
2014-0001,It’s Not What You Say But How You Say It: Information Asymmetry and Compliance Gaining Online,2014,4,4,Carolyn Marie Hurley,"U at Buffalo, State U of New York"
2014-0002,Are You Scared Yet? Evaluating Fear Appeal Messages in Tweets About the Tips Campaign,2014,4,1,Sherry L Emery,U of Illinois - Chicago
2014-0002,Are You Scared Yet? Evaluating Fear Appeal Messages in Tweets About the Tips Campaign,2014,4,2,Glen Szczypka,Health Media Collaboratory
2014-0002,Are You Scared Yet? Evaluating Fear Appeal Messages in Tweets About the Tips Campaign,2014,4,3,Eulalia Puig Abril,U of Illinois - Chicago
2014-0002,Are You Scared Yet? Evaluating Fear Appeal Messages in Tweets About the Tips Campaign,2014,4,4,Lisa James,U of California - San Diego
2014-0003,Lost and Found in Translation: Persuasive Effects of Native Language and International Comments on YouTube,2014,5,1,Leonie Roesner,U of Duisburg-Essen
2014-0003,Lost and Found in Translation: Persuasive Effects of Native Language and International Comments on YouTube,2014,5,2,Stephan Winter,U Duisburg-Essen
2014-0003,Lost and Found in Translation: Persuasive Effects of Native Language and International Comments on YouTube,2014,5,3,Joseph B. Walther,Nanyang Technological University
2014-0003,Lost and Found in Translation: Persuasive Effects of Native Language and International Comments on YouTube,2014,5,4,Nicole C. Kramer,U of Duisburg-Essen
2014-0003,Lost and Found in Translation: Persuasive Effects of Native Language and International Comments on YouTube,2014,5,5,Tina Ganster,U of Duisburg-Essen
2014-0004,Is Citizen News Alternative? Online News Platforms and the BP Oil Spill,2014,1,1,Benjamin A. Lyons,Southern Illinois U - Carbondale
2014-0005,"Making Investigative News: Social Network, Collaboration, and Journalistic Autonomy",2014,2,1,Fei Chris Shen,City U of Hong Kong
2014-0005,"Making Investigative News: Social Network, Collaboration, and Journalistic Autonomy",2014,2,2,Zhian Zhang,Sun Yat Sen University
2014-0006,Open Investigative Journalism and the Reciprocal Panopticon: Citizens as Watchdogs,2014,1,1,Tanja Katarina Aitamurto,UC Berkeley
2014-0007,Rearranging Repertoires: How User Commentary Contributes to Journalistic Diversity in the Coverage of the Financial Crisis,2014,2,1,Christian Baden,Ludwig Maximilans U Munich
2014-0007,Rearranging Repertoires: How User Commentary Contributes to Journalistic Diversity in the Coverage of the Financial Crisis,2014,2,2,Nina Springer,LMU Munich
2014-0008,Triggering Participation: Hostile Media and Third-Person Effects on Online Participation,2014,3,1,Greg James Munno,Syracuse University
2014-0008,Triggering Participation: Hostile Media and Third-Person Effects on Online Participation,2014,3,2,Myojung Chung,Syracuse U
2014-0008,Triggering Participation: Hostile Media and Third-Person Effects on Online Participation,2014,3,3,Brian Moritz,Syracuse U
2014-0009,"Communicating the “Good Life” via Corporate Social Advocacy: The Amplified Impact of Corporate Social Responsibility on Consumer Purchase Intention, Corporate Financial Performance",2014,2,1,Melissa Dawn Dodd,University of Central Florida
2014-0009,"Communicating the “Good Life” via Corporate Social Advocacy: The Amplified Impact of Corporate Social Responsibility on Consumer Purchase Intention, Corporate Financial Performance",2014,2,2,Dustin Supa,Boston University
2014-0010,“Will You Join Us?”: The Effects of a Partake-in-Our-Cause (PIOC) Message in Corporate Social Responsibility Campaigns on the Evaluations of a Negatively Publicized Company,2014,4,1,Joon Soo Lim,Syracuse University
2014-0010,“Will You Join Us?”: The Effects of a Partake-in-Our-Cause (PIOC) Message in Corporate Social Responsibility Campaigns on the Evaluations of a Negatively Publicized Company,2014,4,2,Sung-Un Yang,Indiana U
2014-0010,“Will You Join Us?”: The Effects of a Partake-in-Our-Cause (PIOC) Message in Corporate Social Responsibility Campaigns on the Evaluations of a Negatively Publicized Company,2014,4,3,Minjeong Kang,Ball State U
2014-0010,“Will You Join Us?”: The Effects of a Partake-in-Our-Cause (PIOC) Message in Corporate Social Responsibility Campaigns on the Evaluations of a Negatively Publicized Company,2014,4,4,Eun Ji (Angie) Chung,Syracuse University
2014-0011,The Effects of Message Framing and Source Credibility in Cause-Related Marketing,2014,2,1,Young Eun Park,Indiana University
2014-0011,The Effects of Message Framing and Source Credibility in Cause-Related Marketing,2014,2,2,Hyunsang Son,University of Texas
2014-0012,The Cultural Mediated Moderation Effects of CSR Campaigns: Perceived CSR as a Mediator,2014,2,1,Soojung Kim,University of Minnesota
2014-0012,The Cultural Mediated Moderation Effects of CSR Campaigns: Perceived CSR as a Mediator,2014,2,2,Jiyang Bae,Chonnam National University
2014-0013,"@todayin1963: Commemorative Journalism, Digital Collective Remembering, and the March on Washington",2014,2,1,Brendan R. Watson,U of Minnesota
2014-0013,"@todayin1963: Commemorative Journalism, Digital Collective Remembering, and the March on Washington",2014,2,2,Michelle Chen,University of Minnesota-Twin Cities
2014-0014,For That Forgetful Memory: Ten-Year Anniversary Coverage of SARS in Mainland China and Hong Kong,2014,1,1,Bijie Bie,University of Alabama
2014-0015,"Unmasking Title IX on Its Fortieth Birthday: The Operation of Women’s Voices, Women’s Spaces, and Sporting Mythnarratives in the Commemorative Coverage of Title IX",2014,2,1,Lori Amber Roessner,University of Tennessee
2014-0015,"Unmasking Title IX on Its Fortieth Birthday: The Operation of Women’s Voices, Women’s Spaces, and Sporting Mythnarratives in the Commemorative Coverage of Title IX",2014,2,2,Erin Elizabeth Whiteside,U of Tennessee
2014-0016,"“Everything Old is New Deal Again”: U.S. Media Remember the Depression and New Deal, 2008-2010",2014,1,1,Christopher Cimaglio,University of Pennsylvania
2014-0017,Tradition Meets Immediacy and Interaction: The Influence of Social Media on Journalism Practices,2014,2,1,Frauke Zeller,Ryerson University
2014-0017,Tradition Meets Immediacy and Interaction: The Influence of Social Media on Journalism Practices,2014,2,2,Alfred Hermida,University of British Columbia
2014-0018,Journalistic Social Web Communication: A Theoretical and Methodological Proposal for Analyzing Democratic Potential,2014,1,1,Ines Drefs,University of Hamburg
2014-0019,Chinese Journalists’ Discursive Weibo Practices in a Spin-Off Journalistic Sphere,2014,2,1,Jiawei Sophia Fu,Northwestern University
2014-0019,Chinese Journalists’ Discursive Weibo Practices in a Spin-Off Journalistic Sphere,2014,2,2,Alice Yuet Lin Lee,Hong Kong Baptist U
2014-0020,“Stay Tuned”: A Case Study of Trustee Networked Journalism,2014,3,1,Mildred Frances Perreault,University of Missouri
2014-0020,“Stay Tuned”: A Case Study of Trustee Networked Journalism,2014,3,2,Joy Michelle Jenkins,U of Missouri
2014-0020,“Stay Tuned”: A Case Study of Trustee Networked Journalism,2014,3,3,Esther Thorson,U of Missouri
